hotel_id,type,name,address,rooms,grade,district,aga_division,local_authority,longitude,latitude
HOTEL_0001,Boutique Hotels,THE THEVA RESIDENCY,"11/B5/10-1 06TH LANE, HANTANA,KANDY",10,UNRATED,Kandy,Kandy Divisional Secretariat,Kandy,80.635411,7.276036
HOTEL_0002,Boutique Hotels,HIGHLAND VILLA,"351, ABIMANGAMA ROAD, KUMBALGAMA, WELIGAMA",10,UNRATED,Matara,Weligama Divisional Secretariat,Weligama Pradeshiya Sabha,80.409972,5.960334
HOTEL_0003,Boutique Hotels,ULAGALLA WALAWWA RESORT,"THIRAPPANE, ANURADHAPURA",21,UNRATED,Anuradhapura,Anuradhapura East,Anuradhapura,80.545063,8.205927
HOTEL_0004,Boutique Hotels,GALLE FORT HOTEL,"NO.28, CHURCH STREET, FORT , GALLE",14,UNRATED,Galle,Galle Divisional Secretariat,Galle,80.217563,6.026649
HOTEL_0005,Boutique Hotels,AMANWELLA,"WELLAWATURA, GODELLAWELA, TANGALLE",30,UNRATED,Hambantota,Tangalle Divisional Secretariat,Tangalle Pradeshiya Sabha,80.777376,6.006174
HOTEL_0006,Boutique Hotels,ADITYA,"719/1, GALLE ROAD, DEVENIGODA,RATHGAMA",12,UNRATED,Galle,Galle Divisional Secretariat,Galle,80.134978,6.094732
HOTEL_0007,Boutique Hotels,BUCKINGAM PLACE,"REKAWA VILLAGE, NETOLPITIYA, TANGALLE",11,UNRATED,Hambantota,Tangalle Divisional Secretariat,Tangalle Pradeshiya Sabha,80.855462,6.047336
HOTEL_0008,Boutique Hotels,CLUB VILLA,"NO.138/15, GALLE ROAD, BENTOTA",15,UNRATED,Galle,Benthota Divisional Secretariat,Bentota Pradeshiya Sabha,79.999034,6.414093
HOTEL_0009,Boutique Hotels,SAMAN VILLAS,"ATURUWELLA, INDURUWA",27,UNRATED,Galle,Galle Divisional Secretariat,Galle,80.004447,6.395518
HOTEL_0010,Boutique Hotels,MANDARA RESORT,"NO. 416, MODARAWATTA, PELENA, MIRISSA, WEILIGAMA",12,UNRATED,Matara,Matara Divisional Secretariat,Weligama Pradeshiya Sabha,80.453836,5.964016
HOTEL_0011,Boutique Hotels,VIL UYANA,"RANGIRIGAMA, SIGIRIYA",30,UNRATED,Matale,Matale Divisional Secretariat,Matale,80.720275,7.92971
HOTEL_0012,Boutique Hotels,TAMARIND HILL HOTEL,"NO.288,GALLE ROAD, DADELLA, GALLE",11,UNRATED,Galle,Galle Divisional Secretariat,Galle,80.19736,6.044845
HOTEL_0013,Boutique Hotels,PARADISE ROAD TINTAGEL COLOMBO,"NO.65, ROSMEAD PLACE,COLOMBO 07",10,UNRATED,Colombo,Colombo Divisional Secretariat,Colombo,79.869959,6.915033
HOTEL_0014,Boutique Hotels,BROOK BOUTIQUE,"ALI PALLAMA, MADAHAPOLA ROAD, MELSIRIPURA",10,UNRATED,Kurunegala,Polpithigama Divisional Secretariat,Polpithigama Pradeshiya Sabha,80.512511,7.726939
HOTEL_0015,Boutique Hotels,THE FORTRESS,KOGGALA,49,UNRATED,Galle,Galle Divisional Secretariat,Galle,80.326424,5.986535
HOTEL_0016,Boutique Hotels,CASA COLOMBO,"NO.231, GALLE ROAD, COLOMBO 03",11,UNRATED,Colombo,Colombo Divisional Secretariat,Colombo,79.857693,6.888839
HOTEL_0017,Boutique Hotels,AMANGALLE,"NO. 10 CHURCH ROAD, GALLE",28,UNRATED,Galle,Galle Divisional Secretariat,Galle,80.216995,6.028977
HOTEL_0018,Boutique Hotels,MAALU MAALU RESORTS & SPA,"TOURISM ZONE, PASSIKUDAH.",40,UNRATED,Batticaloa,Koralai Pattu Divisional Secretariat,Batticaloa,81.561268,7.92839
HOTEL_0019,Boutique Hotels,THE WALAWWA,"MINUWANGODA ROAD,OPATHA,KOTUGODA.",17,UNRATED,Gampaha,Minuwangoda Divisional Secretariat,Minuwangoda Pradeshiya Sabha,79.927908,7.131981
HOTEL_0020,Boutique Hotels,BOULDER GARDEN,"KOSWATTA,KALAWANA.",10,UNRATED,Ratnapura,Kalawana Divisional Secretariat,Ratnapura,80.385872,6.514558
HOTEL_0021,Boutique Hotels,JIMS FARM VILLA,"AHELAPOLA, PELLEPOLA, MATALE",10,UNRATED,Matale,Pallepola Divisional Secretariat,Ahelapola,80.619922,7.621357
HOTEL_0022,Boutique Hotels,LANGDALE RESORT & SPA,"P.O BOX 01, NANUOYA, RADELLA,NUWARAELIYA",13,UNRATED,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,Kotapola Pradeshiya Sabha,80.718066,6.929208
HOTEL_0023,Boutique Hotels,THE FORT BAZAAR,"26, CHURCH STREET, GALLE FORT, GALLE",18,UNRATED,Galle,Galle Divisional Secretariat,Galle,80.2154963,6.026844
HOTEL_0024,Boutique Hotels,"WATER GARDEN,SIGIRIYA","KIBISSA, SIGIRIYA",30,UNRATED,Matale,Dambulla Divisional Secretariat,Dambulla Pradeshiya Sabha,80.7441833,7.994399
HOTEL_0025,Boutique Hotels,SOORIYA RESORT & SPA,"SOORIYA RESORT & SPA, REKAWA BEACH, TANGALLE",38,UNRATED,Hambantota,Tangalle Divisional Secretariat,Tangalle Pradeshiya Sabha,80.8635393,6.048141
HOTEL_0026,Boutique Hotels,WILD COAST TENTED LODGE,"PALATUPANA,YALA.",28,UNRATED,Hambantota,Thissamaharama Divisional Secretariat,Thissamaharama,81.4064072,6.2607399
HOTEL_0027,Boutique Hotels,THE HABITAT,"47/23,PARATHARAKAYA CIRCULATION ROAD, KOSGODA",28,UNRATED,Galle,Balapitiya Divisional Secretariat,balapitiya,80.0258226,6.3405694
HOTEL_0028,Boutique Villas,ROCK VILLA,"NEELISGEWATTA,ALAWATHUGODA,BENTOTA.",7,UNRATED,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,79.9973733,6.41358
HOTEL_0029,Boutique Villas,MIRAGE KINGS COTTAGE,"NO 111, HAVELOCK DRIVE, OFF UPPER LAKE ROAD,NUWARAELIYA.",11,UNRATED,Nuwara Eliya,Nuwara Eliya,Nugegoda Divisional Secretariat,80.7723742,6.9641218
HOTEL_0030,Boutique Villas,DUNKELD BUNGALOW,"DUNKEL BUNGALOW, DANKELD ESTATE, DICKOYA",5,UNRATED,Nuwara Eliya,Ambalantota Pradeshiya Sabha,Ambalangoda Divisional Secretariat,80.572933,6.858082
HOTEL_0031,Boutique Villas,SUMMERVILLE,"TEA TRAILS (PVT) LTD, SUMMERVILLE BUNGALOW, SUMMERVILLE, DICKOYA, HATTON.",5,UNRATED,Nuwara Eliya,Ambagamuwa Pradeshiya Sabha,Ambagamuwa Divisional Secretariat,80.580983,6.867271
HOTEL_0032,Boutique Villas,MIRISSA HILLS,"HENWALA ROAD, HENWALA, MIRISSA",8,UNRATED,Matara,Galle,Galle Divisional Secretariat,80.465105,5.963842
HOTEL_0033,Boutique Villas,WILD GRASS NATURE RESORT,SIGIRIYA,5,UNRATED,Matale,Matale,Matale Divisional Secretariat,80.724371,7.904267
HOTEL_0034,Boutique Villas,NORWOOD BUNGALOW,"TEA TRAILS,NUWARA ELIYA.",5,UNRATED,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.60413,6.834541
HOTEL_0035,Boutique Villas,VILLA SAFFRON,"NO,776,GALLE ROAD,THIRANGAMA,HIKKADUWA",5,UNRATED,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.1137,6.12222
HOTEL_0036,Boutique Villas,MOUNT HAVANA LUXURY BOUTIQUE VILLA,"P.O. BOX. 28, WATTAHENA, GAMPOLA.",5,UNRATED,Kandy,Gampola,Udapalatha Divisional Secretariat,80.599521,7.144944
HOTEL_0037,Boutique Villas,LAKE LODGE BOUTIQUE HOTEL,"16,DIVISION,WEWA ROAD,KANDALAMA,DAMBULLA",6,UNRATED,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.690316,7.863126
HOTEL_0038,Boutique Villas,MOUNT BATTEN BUNGALOW,"BOWALAWATTA,WAITRARAMA,ARANVA ROAD,KANDY",3,UNRATED,Kandy,Kandy,Kandy Divisional Secretariat,80.619447,7.255123
HOTEL_0039,Boutique Villas,ELLERTON HOTEL,"NAWA GURUKELLE, DOLUWA, GAMPOLA",5,UNRATED,Kandy,Gampola,Gampola Divisional Secretariat,80.629261,7.187229
HOTEL_0040,Boutique Villas,ROSYTH ESTATE HOUSE,"ROSYTH ESTATE,PUSSELLA,KEGALLE",7,UNRATED,Kegalle,Kegalle,Kegalle Divisional Secretariat,80.352821,7.276954
HOTEL_0041,Boutique Villas,ERAELIYA VILLAS AND GARDENS,"NO : 299,WALLIWALA,KAPPARATOTA,WELIGAMA.",7,UNRATED,Matara,Matara,Weligama Divisional Secretariat,80.413849,5.958113
HOTEL_0042,Boutique Villas,WATERSIDE BENTOTA,"YATHRAMULLA,BENTOTA",6,UNRATED,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,80.007114,6.430846
HOTEL_0043,Boutique Villas,COCO BAY,"NO. 4/10, RUMASSALA, UNAWATUNA.",8,UNRATED,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.243972,6.027435
HOTEL_0044,Boutique Villas,REEF VILLA & SPA,"NO.78,SAMANTHARA RD, WADDUWA",7,UNRATED,Kalutara,Kalutara Pradeshiya Sabha,Wadduwa,79.928253,6.658974
HOTEL_0045,Boutique Villas,DVILLAS LUXURY,"193/1, GNANENDRA MAWATHA, NAWALA",6,UNRATED,Colombo,Colombo,Colombo Divisional Secretariat,79.8872566,6.8864696
HOTEL_0046,Boutique Villas,ERA BEACH HOTEL,"NO. 834, MATARA ROAD, THALPE",6,UNRATED,Galle,Galle,Galle Divisional Secretariat,80.2727742,5.9984781
HOTEL_0047,Boutique Villas,THE RIVER HOUSE,"NO.70, UTTAMAGHNA MAWATHA,WALAGEDERA, BALAPITIYA",5,UNRATED,Galle,Galle,Galle Divisional Secretariat,80.043303,6.260578
HOTEL_0048,Boutique Villas,KAHANDA KANDA,"AGULUGAHA, GALLE",6,UNRATED,Galle,Galle,Galle Divisional Secretariat,80.345978,6.020899
HOTEL_0049,Boutique Villas,APA VILLA,"78TH MILE POST, MATARA ROAD, THALPE",5,UNRATED,Galle,Galle,Galle Divisional Secretariat,80.27272,6.04173
HOTEL_0050,Boutique Villas,WARWICK GARDEN,"AMBEWELA DIVISION, WARWICK ESTATE, BORAGAS",5,UNRATED,Nuwara Eliya,Welimada Pradeshiya Sabha,Welimada Divisional Secretariat,80.828226,6.897703
HOTEL_0051,Boutique Villas,VILLA REPUBLIC GALLE,"607/10,COLOMBO ROAD,GINTOTA,GALLE.",8,UNRATED,Galle,Galle,Galle Divisional Secretariat,80.179398,6.058846
HOTEL_0052,Boutique Villas,COCOON RESORT AND VILLAS,"KAIKAWALA ROAD, INDURUWA",10,UNRATED,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,80.012888,6.373562
HOTEL_0053,Boutique Villas,C & I BEACH HOTEL,"57,IRANAWILA WATTA, IRANAWILA, CHILAW",11,UNRATED,Puttalam,Chilaw Pradeshiya Sabha,Puttalam Divisional Secretariat,79.796028,7.506236
HOTEL_0054,Boutique Villas,THE SUN HOUSE,"NO.18, UPPER DICKSON ROAD, GALLE",6,UNRATED,Galle,Galle,Galle Divisional Secretariat,80.218948,6.038032
HOTEL_0055,Boutique Villas,TIENTSIN BUNGALOW,"TIENTSIN BUNGALOW, TIENTSIN, BOGAWANTALAWA",6,UNRATED,Nuwara Eliya,Ambagamuwa Pradeshiya Sabha,Nuwara Eliya Divisional Secretariat,80.657846,6.81343
